artist	artist_id	name	album	release_year	header	lyrics
Scarface	11	I Seen a Man Die	The Diary	1994	[Verse 2]	"Imagine life at its full peak
Then imagine lyin' dead in the arms of your enemy
Imagine peace on this Earth when there's no grief
Imagine grief on this Earth when there's no peace
Everybody's got a different way of endin' it
And when your number comes for souls, then they send it in
Now your time has arrived for your final test
I see the fear in your eyes and hear your final breath
How much longer will it be 'til it's all done?
Total darkness at ease be at all one
I watch him die and when he dies let us celebrate
You took his life, but your memory you'll never take
You'll be headed to another place
And the life you used to live will reflect in your mother's face"
Eminem	15	Square Dance	The Eminem Show	2002	[Chorus]	"Come on now! Let's all get on down! (Let's dance)
Do-si-do now! We gon' have a good ol' round (Let's sing)
Don't be scared, ‘cause there ain't nothin' to worry 'bout (Join hands)
Let your hair down and square dance with me! (Be free)
Come on now! Let's all get on down! (Let's chill)
Do-si-do now! We gon' have a good ol' round (Let's live)
Don't be scared, ‘cause there ain't nothin' to worry 'bout (And dance)
Let your hair down and square dance with me! (With me)"
50 Cent	19	Stunt 101	Beg for Mercy	2003	[Chorus]	"I teach you how to stunt
My wrists stay rocked up, my TV's pop up in a Maybach Benz
I teach you how to stunt
Nigga you can't see me, my Bentley GT got smoke-gray tints
I teach you how to stunt
My neck stay blinging, my rims stay gleaming, I'm shining, man
I teach you how to stunt
I see you scheming, nigga keep on dreaming, I hurt ya man
I teach you how to stunt"
André 3000	27	Chronomentrophobia	Idlewild	2006	[Verse 2]	"Lord be having mercy on my soul
I'm having the impression that my life gon' be a bowl
Of cherries, but it's very hard for me to cope
Got tired of being broke
This ATLien ain't got no time to sit and mope
Made up my mind while y'all made up y'all beds
On a cold wooden floor is where I laid my head
Born in 1975, never thought I'd make it this far
Still battling in this racial war
Tryna find solutions to the situation I'm facing
Only thing that's free is my flow that y'all be chasing
Letting my niggas know before I go, I drop that knowledge
Like dropping books; let's stop the crooks
From robbing you of your brains and such
Using welfare as a crutch
I'm in it for good; you enter my hood, you won't be finding much
Hope that when I'm gone, y'all remember this
What we stood for: ""Fuck that fame and that glitz""
It's beginning to look a lot like the ending
And got to be more careful, know what corners you be bending
Revelations, getting impatient, and now, I'm dead
Remember what I said; I'm gone, bow your heads"
Kendrick Lamar	16	gloria	GNX	2024	[Verse 2]	"Said you gon' see other people if I didn't grow with you
Wasn't no more holdin' them pistols in front of stores with you
You want reality, not tragedy, for sure, I get you
To tell the truth, I been pretty used to what open-minded people do
In 2014, I went to Africa, baby, you was my passenger
My eyes and ears for all the years the neighborhood had baffled us
Of course I had to wrap it up, I didn't fully trust you
Fabrication, I disgust you, then you blocked me, I said, ""Fuck you"""
Rakim	10	Uplift	The Master	1999	[Verse 4]	"We all should, from the woods to the big city and the small hood
Everybody should be welcome to the ball if we all could
But we fall cause we brawl, yo it ain't all good
We need to play right, stay tight with ya air alight
Keep your game tight, no need to play trife
Get cheese from the daylight to the late night
And it's shouldn't take death to appreciate life
Before a lot perish, we got to cherish if Allah let us
Get proper nourish 'til the block flourish
In this metropolis, stay on top of this
You know what the prophet is, be prosperous"
Future	30	Slimed In	WE DON’T TRUST YOU	2024	[Verse 1]	"Eat it right up and don't cry 'bout it
All my hoes get time out
All your hoes gettin' slimed out
The AP store, we buy 'em out
Marni on Marni, go headfirst
All my hoes wear Chanel sandals
White on your toes, that's good manners
Chanaynay black, goin' bandana
All my hoes take the whole thing
High-top Maybach, cocaine
2025 on the leg trip
Scorchin' fire, no Pyrex
Hit me on WhatsApp, direct
KitKat pant, went chocolate
Patek water, I train her
Pass that bag, gotta train her
Cuban, let's link, I chain her
She throwin' up rackies, I train her
All my hoes, they gang members
All these pills got 'caine in him
Dog food, probably got pain in 'em
Curved that goofy, he ain't him
Told you these hoes on my time
Put him on ice, go Einstein"
Lupe Fiasco	23	Deliver	Tetsuo & Youth	2014	[Chorus]	"Pizza man don't come here no more
Too much dope, too many niggas on the porch
So the pizza man don't approach (no, no, no)
Pizza man don't come here no more
Too many niggas on the block, too many niggas getting shot
So the pizza man don't stop (pow, pow, pow)
Pizza man don't come here no more
Too many niggas getting robbed, niggas don't wanna starve
But ""Niggas ain't got no jobs, blah blah blah""
Pizza man don't come here no more
Deliver, deliver, deliver"
Travis Scott	33	Flying High	Rodeo	2015	[Chorus]	"HeyHeyHeyI be flyin' high, yeah, I be flyin' high, shawty
I be flyin' high, yeah, I be flyin' high, shawty
I be flyin' high, yeah, I be flyin' high, yeahTake a sip revive, take a trip to the Down South, yeah"
Lupe Fiasco	23	Go Baby	Lupe Fiasco’s The Cool	2007	[Chorus]	"Go baby! (Hoo hoo) Go baby! (Hoo hoo)
Go baby! (Hoo hoo) Go baby! (Hoo hoo)
Go baby! (Hoo hoo) Go baby! (Hoo hoo)
Go baby! (Hoo hoo) Go baby! (Hoo hoo)
Go baby! (Hoo hoo) Go baby! (Hoo hoo)
Go baby! (Hoo hoo) Go baby! (Hoo hoo)
Go baby! (Hoo hoo) Go baby! (Hoo hoo)
Go baby! (Hoo hoo) Go baby! (Hoo hoo)"
Nas	9	Hip Hop Is Dead	Hip Hop Is Dead	2006	[Chorus]	"If hip hop should die before I wake
I'll put an extended clip and body 'em all day
Roll to every station, wreck the DJ
Roll to every station, wreck the DJ
If hip hop should die before I wake
I'll load an extended clip and body 'em all day
Roll to every station, wreck the DJ
Roll to every station, wreck the DJ
()"
Snoop Dogg	0	This City	BUSH	2015	[Verse 2]	"Champagne wishes
Taste like American pie
Rags to riches
You never know unless you try, ooh"
Nas	9	You Can’t Kill Me	Hip Hop Is Dead	2006	[Outro]	"You can't kill me
You can't kill me
You can't kill me"
Nas	9	Nastradamus	Nastradamus	1999	[Verse 2]	"I let y'all niggas bang my shit before Saddam hits
Let Nastradamus tell us what time it is
I was the first one on that Don shit
First nigga to sing a hook on some TJ Swan shit
Black ski masks up in the projects, camoulflage, full clips
Run up in your crib, tie up your bitch
Weigh the bricks and we loco, so broke, brown coke won't sell
Spending your money on weed, smoke and hotels
Hood rats and bullet wound up females
Got babies by hustlers and niggas in jail
Slinging for chips, the fiends with burnt finger tips
Base heads, killed cab drivers just for a hit
A week later, sporting Gators, getting thrills
By honeys wearing Gucci high heels
She come to scoop me, y'all chill
Leave the streets alone for a sec
Hit the sky bar on sunset, then the sex is so high-tech
Uh"
Nas	9	You Owe Me	Nastradamus	1999	[Chorus]	"uh huhuh, uhYeah, owe me back like you owe your tax
Owe me back like forty acres to Blacks
Pay me back when you shake it like that girlYeah, owe me back like you owe your rent
Owe me back like its money I spent
Pay me back when you shake it again"
Future	30	Moment of Clarity	Pluto x Baby Pluto	2020	[Chorus]	"Moment of clarity, I'm straight off the yacht
Upping my currency, I'm taking your spot
Fuck a celebrity, treat like a thot
Ain't no comparing, the game in a knot
I keep additional guns in the door
High-tech surveillance came with a remote
She got Balenciaga on the road
I need some codeine, it's curing my soul
Watches and watches and watches and chains, yeah
A whole lot to change, yeah
Shottas on shottas on shottas with K's, yeah
We made it out the rain, yeah
Shawty wan' fuck on my shorty just one time, let's make the arrangement
Deep collar flawless, it's clarity stones on me, I look like a caveman"
Dr. Dre	1	Compton’s N The House (Remix)	Straight Outta Compton	1988	[Verse 7]	"Who really cares - about a sucker on a take off
Bust a move, we can have a shake and bake-off
Me and you can go 'cause I don't care
Yo, rap fight or guerrilla warfare
We can rumble, 'cause when my lungs go in and out
I kick rhymes in a bundle to win a bout
Or scurry or scuffle
I just muffle the opposition, there's no competition
Let 'em know that Dre is getting stronger
Compton's in the house but now it's some' longer
I won't get set-up, shut up, I'm kinda fed up
You can say uncle and I still won't let up
'Cause Dre is the muthafuckin' doctor
And if me and Ren's on the mic, it's like propaganda no doubt
(""Compton's in the house"")"
Dr. Dre	1	Calling Out Names	Tha Streetz Iz a Mutha	1999	[Chorus]	"*scratching*
""Never did like you""
""You know what?""
*scratching*
""""
""It's for my niggas and my bitches
My bitches and all my niggas, my niggas and all my bitches, my bitches and all my niggaaaass!""
Callin' Out Names
 (What?)
 (What?)"
Kendrick Lamar	16	Alright	To Pimp a Butterfly	2015	[Verse 1]	"Uh, and when I wake up
I recognize you're looking at me for the pay cut
But homicide be looking at you from the face down
What MAC-11 even boom with the bass down?
Schemin', and let me tell you 'bout my life
Painkillers only put me in the twilight
Where pretty pussy and Benjamin is the highlight
Now tell my mama I love her, but this what I like, Lord knows
Twenty of 'em in my Chevy, tell 'em all to come and get me
Reapin' everything I sow, so my karma comin' heavy
No preliminary hearings on my record
I'm a motherfuckin' gangster in silence for the record, uh
Tell the world I know it's too late
Boys and girls, I think I've gone cray
Drown inside my vices all day
Won't you please believe when I say"
Prodigy	8	G.O.D. Pt. III	Hell On Earth	1996	[Verse 1]	"Alright now, pay attention to the crime rhyme Houdini P
Keeping you niggas in perspective
Mobb representative, call me the specialist
Professional, professor at this rap science
Up in the laboratory, that's why your small rhyme bore me
Your store-bought rap ain't shit, my category
Is that of an insane man who strike back (What?)
I draw first blood, it's over with and that's that
You wanna square off, I'm sayin', ""Slice that cat""
You get splashed from back of your head to asscrack
Searching for signs of the end, well, I am that
Which bring apocalypse to this game called rap
Not a game, but quite serious and yo, in fact
You'll be running for dear life, so far you might fall off the map
Fuckin' with P, you need the gat
At least you had a opportunity to bust back
Fresh out the motherfuckin' pack, a rare world premiere
Shook individuals bounce in blind fear
Scared-to-death niggas fall to they worst fear
Horror tales in Braille for vision-impaired
You lookin' for P, well, you can find him everywhere
In a project near you, I'll be right there
I was brought up and taught to have no fear (Now)
Live wire niggas, they behind me in the rear (Now)
Cowardly hearts, step aside, stand clear (Clear)
My bloodthirsty niggas got they eyes on you (You)
QBC, lime Bacardi, Godfather Pt. III
On some hashish, the Embassy Suite, crash your party"
Future & Metro Boomin	32	WTFYM	WE DON’T TRUST YOU	2024	[Chorus]	"Got my bitch a lil' codeine, she rock new Celine
Made my dog a millionaire, what the fuck you mean?
She just fucked a millionaire, what the fuck you mean?
Bustin' bales down in the bath, what the fuck you mean?
I went crazy in the trap, what the fuck you mean?
My lil' brother'll rob you now, what the fuck you mean?
Drinkin' lean and poppin' tabs, what the fuck you mean?
Numero uno in the lab, what the fuck you mean?"
Kurupt	4	Who Ride Wit Us	Tha Streetz Iz a Mutha	1999	[Verse 2]	"Livin' it up -- shakin', makin' the hood turn
Boil and burn, two buckets of yearn
Flippin' stickin' fools for chicken, scrapin' the curbs
Scrappin' for the domes straight to the head Thunderbird
I'm on it homey, me and my homegirl Diamond
Down with a nigga damn near before a nigga was rhymin'
Daz, my closest homeboy
California lickin' switches a couple toys
I'm tired retirin' a couple jerseys
Went from the sunny state to Jersey, puffin hershey
Let off, get off, or get spin off
Spit off, set off, spun off the chest
Off the roof, a hundred and seventy-eight proof of boost
Gangster Daz and Kurupt let loose
This is it, short change dip wit us
Sip wit it us, cock your heat or spit wit us"
Eric B. & Rakim	14	The R	Follow the Leader	1988	[Verse 2]	"Somethin' new and to keep you doin' what you're doin'
This is for you and your crew and for who in
The vicinity, I don't need no identity
I see hands in the air, that means many be
Cooperatin', I can't stop relatin'
Hip-hop is makin' more sense when I'm statin'
Paragraphs of potential to prevent you from usin' my instrumental
Keep in mind, I meant to
Illustrate another iller break immediately
Hurry up and learn the words and repeat it with me
Then soon, you're in tune and up to par
And then you're doin' it with The R
Keep doin' it, you keep doin' it with The R"
MC Ren	17	Straight Outta Compton	Straight Outta Compton	1988	[Verse 2]	"Straight outta Compton, another crazy-ass nigga
More punks I smoke, yo, my rep gets bigger
I'm a bad motherfucker, and you know this
But the pussy-ass niggas won't show this
But I don't give a fuck, I'ma make my snaps
If not from the records, from jacking or craps
Just like burglary, the definition is jacking
And when I'm legally armed it's called packing
Shoot a motherfucker in a minute
I find a good piece of pussy and go up in it
So if you're at a show in the front row
I'ma call you a bitch or dirty-ass ho
You'll probably get mad like a bitch is supposed to
But that shows me, slut, you're not opposed to
A crazy motherfucker from the street
Attitude legit, ‘cause I'm tearing up shit
MC Ren controls the automatic
For any dumb motherfucker that starts static
Not the right hand, 'cause I'm the hand itself
Every time I pull an AK off the shelf
The security is maximum and that's a law
R-E-N spells Ren, but I'm raw
See, 'cause I'm the motherfucking villain
The definition is clear, you're the witness of a killin'
That's taking place without a clue
And once you're on the scope, your ass is through
Look, you might take it as a trip
But a nigga like Ren is on a gangsta tip
Straight outta Compton
(Compton Compton Compton)
(City of Compton, City of Compton)"
Lloyd Banks	34	Beg For Mercy	Beg for Mercy	2003	[Verse 3]	"I'm tired of you niggas with your maybe beef
We gon' be here forever, you're temporary like baby teeth
I'm in and out the night clubs, eighty deep
Dark blue Benz, navy seats, eighty sneaks
These niggas tellin' out the blue
So you hang 'em off the bridge, police'll have to helicopter you
The Jimmy lived in the bags, the Bellhop will do
I rap for the neighborhood niggas that failed in high school
You can tell I came a long way in my sense, home grown
That's why them little niggas in the projects love me
You provide the beat downs for free, I paid my dues
I don't even freestyle for free
I gave 'em a break, flew over seas
But it's kinda hard to get homie-sick when there's blue in the trees
Sit back and try to play your role
The doctors'll put more staples in yo' ass than a telephone pole
Yeah!"
Big Boi	26	Aquemini	Aquemini	1998	[Verse 3]	"The name is Big Boi, Daddy Fat Sax, the nigga that like them Cadillacs
I stay down with these streets 'cause these streets is where my folks at
Better know that, some say we pro-Black, but we professional
We missed a lot of church, so the music is our confessional
Get off the testicles and the nutsacks, you bust 'round, we bust back
G—Get back for real niggas that's out here tryna spit facts
You 'ear that? You can't come near that, maybe you need to quit (Quit)
Because ""Aquemini"" is Aquarius and the Gemini running shit
Like this, yeah, yeah, yeah, yeah"
Big Boi	26	Ain’t No Thang	Southernplayalisticadillacmuzik	1994	[Verse 4]	"It's on, my friend, on the road again, I'm travelin'
Do more than sixty-five on 85 off in my Cadillac
I got that nigga Dre, he ridin' shotgun
And got my pump under my seat in case these youngsters wanna have some fun
I'll do it if I have to, bustin' caps with this here heater
Loadin' clip up after clip, I'm packin' my gauge if I feel it
The Glock, the gat, the nine, the heater
See, I be bustin' caps like my amp be bustin' speakers
So how do you figure that Big Boi be scared to blast you?
You 'posed to be the quickest draw, my man, well, hail 'em faster
Uh, one, two, three, you need to think about the future
Before I shoot your ass and dilute your blood with lead
From my hollow tips, I'll send you to an early grave
You fuckin' slave, you better try another way
To take me out is truly somethin' difficult
Don't even run up on me unless you want your brain broke
I'm out of bullets, lettin' loose my last clip
I'ma kick you in your ass and your nigga gettin' pistol whipped
Yeah, that's how I do
You know that's how I do, you know that's how I do"
Eminem	15	Same Song & Dance	Relapse	2009	[Chorus]	"Yeah, baby, do that dance
It's the last dance you'll ever get the chance to do
Girl, shake that ass, you ain't never gonna break that glass
That windshield's too strong for you
I said, ""Yeah, baby, sing that song
It's the last song you'll ever get the chance to sing
You sexy little thing, show me what you got, give it your all
Look at you bawl, why you crying to me?"" Same song and dance"
Scarface	11	One	The Diary	1994	[Verse 2]	"I called my homie, told my homie ""It's on""
Gotta few hoes that wanna moan and groan
They on they way I just hung up the phone
And we gon' be like Marvin Gaye, nigga, gettin' it on
But you gots to keep your head right
And make these bitches feel at home
'Cause these bitches got they head tight
And furthermore, they bringin' weed
Just kick back, nigga, follow my lead"
50 Cent	19	Wanksta	8 Mile	2002	[Verse 3]	"Me, I'm no mobster, me, I'm no gangsta
Me, I'm no hitman (Yeah), me, I'm just me, me
Me, I'm no wanksta, me, I'm no actor
But it's me you see on your TV
'Cause I hustle, baby, this rap shit is so easy
I'm gettin' what you get for a brick to talk greasy (Woo)
By any means, partner, I got to eat on these streets
When you play me close, for sure I'm gonna pop my heat
Niggas sayin' they gon' murk 50, how?
We ridin' 'round with guns the size of Lil Bow Wow
What you know about AKs and AR-15s
Equipped with night vision, shell catchers and inf-beams, huh?"
Eminem	15	Rhyme or Reason	The Marshall Mathers LP 2	2013	[Verse 1]	"My mother reproduced like the komodo dragon
And had me on the back of a motorcycle, then crashed in
The side of loco-motive with rap, I'm
Loco, it's like handing a psycho a loaded handgun
Michelangelo with a paint gun in a tantrum
'Bout to explode all over the canvas
Back with the Yoda of rap, ""In a spasm
Your music usually has 'em
But waned for the game your enthusiasm it hasn't
Follow you must, Rick Rubin my little Padawan.""
A Jedi in training, colossal brain and
Thoughts are entertainin'
But docile and impossible to explain and, I'm also vain and
Probably find a way to complain about a Picasso painting
Puke Skywalker, but sound like Chewbacca when I talk
Full of such blind rage, I need a seein' eye dog
Can't even find the page I was writing this rhyme on
Oh, it's on the ram-page
Couldn't see what I wrote, I write small
It says, ""Ever since I drove a '79 Lincoln with whitewalls
Had a fire in my heart
And a dire desire to aspire to Die Hard.""
So as long as I'm on the clock, punching this time card
Hip-hop ain't dying on my watch"
Rakim	10	We’ll Never Stop	The Master	1999	[Verse 3]	"I extend the prowl I been on since a child
It don't make sense to browse, it's intensive now
Women in crowds, I search for the gem in the Nile
Who stay original, even when the friends around
Since her style always commands a smile
And her femme fatale cause men to growl
I take president of principal, then arouse
Still the treasure is Rakim, the smooth criminal
Damn, it's on, keep my hands on this amazon
Legs for marathons
Voice like Sarah Vaughan
Precise, alright
I like when her sights entice, with a spice of life
Flow times twice as nice
And when she go shop, the show stop
Shock the whole block
She so hot, I clothes shop, put it on lock
Body that won't drop, bounce like hip-hop
It don't stop"
Big Pun	24	You Came Up	Capital Punishment	1998	[Verse 1]	"Ay-yo, my word is bond
Long as I'm alive, I'mma put it on
Coulda gone to jake, shit, thug nigga 'til I'm gone
Weight of the Bronx, I'm flippin
Five boroughs thoroughly reppin'
Let's unite the city and step to the world as a weapon
'Cause everybody's checkin' for Pun, second to none
'Cause Latins goin' platinum was destined to come
The inevitable, heavenly, better than whatever you do
We eligible, TS is incredibly credible
For the revenue, we gettin' you open with lyrical dope
And these breaths that are potent is like an injectional dose
And it never quits
Take it from TS's top terrorist
Rapper slash hijacker, bombin' tracks ever since
I was young, I wasn't always Big Pun
It wasn't always this fun, ay-yo, I rose from the slums
I had to pay my due, lay a few
But I ain't sayin' who, stayin' true to the game
No names, playin' it cool, just me and the crew
Holdin' it down long as we round
We gonna keep sockin' it to you, like Homey D. Clown
Goin' down like 'Pac, ready to ride or die, nigga
La-da-le-la-la-la-la-la"
50 Cent	19	Wanksta	8 Mile	2002	[Chorus]	"You say you a gangsta, but you never pop nothin'
We say you a wanksta and you need to stop frontin'
You go to the dealership, but you don't never cop nothin'
You been hustlin' a long time and you ain't got nothin'
You say you a gangsta, but you never pop nothin'
We say you a wanksta and you need to stop frontin'
You go to the dealership, but you never cop nothin'
You been hustlin' a long time and you ain't got nothin'"
Daz Dillinger	2	Oh No	Retaliation, Revenge and Get Back	1998	[Chorus]	"Oh no, niggas just wanna get killed tonight
Tripping on you, the way I feel tonight
Niggas better pack you guns
Oh no, niggas just wanna get killed tonight
Tripping on you, the way I feel tonight
Niggas better pack you guns"
Future	30	We Don’t Trust You	WE DON’T TRUST YOU	2024	[Chorus]	"We don't trust you niggas, we don't
We don't trust you niggas, we don't
We don't trust you"
Big Pun	24	Fast Money	Capital Punishment	1998	[Verse 2]	"Ayo the plot thickens, I'm pickin' the locks in the back entrance
Payin' attention, not tryin' to get knocked and catch a fat sentence
Not to mention these kids is mafioso with lots of dough so
They got the popo locked with a Don ""The Rock"" Muraco chokehold (oh oh)
Their security system's linear laser protection
No sweat, I brought the miniature mirrors for reflectin'
Inspectin' the vault for weapon's assault, second of course
It's poison, it sprays, boiled and baked in Epsom salt
Reppin' New York, it's the cat burglar, the fat murderer
Slippin' the clip in the MAC, inserterer
Hurtin' your pockets, droppin' your stock to zero profit
Holdin' heroes hostage and mansions for ransom like De Niro mob flicks
Back to the topic at hand, the grand prize
The safe flies open, the shine almost blinded my eyes
I cracked the code, enough ice to make you laugh at gold
Passed the dough to Cuban, started movin' for the back, let's go
That's when I heard the sirens, hopin' that my ears was lyin'
Knew we was dyin' when I saw the guard we tortured cryin'
Pointin' at the building screamin', ""I can see them, kill 'em!""
Snipers was willing but couldn't, there's too many civilians
Still inside, nowhere to hide, nowhere to run
Cuban said, ""Fuck it, we die, we die busting our guns"""
Rakim	10	When I’m Flowin	The 18th Letter	1997	[Verse 2]	"When I'm flowin, theoretically speakin like a drummer
I take you through the streets to the parks in the summer
Or illustrate, a time and place you never been in
And make you focus on the future after seein the beginning
And my style wilds, like Miles on the trumpet
Volume dial was kind of low, need to pump it
Up another notch turn the dial til it stops
More watts you got, more things to watch
Third eye's wide open, you're focused on the theory
Keep scopin til you hear me, words is spoken clearly
It's no smokescreens on the scenes that I'm showin
Man I keep it goin, damn I keep it flowin"
Big Pun	24	Twinz (Deep Cover ’98)	Capital Punishment	1998	[Verse 4]	"Spike Lee couldn't paint a better picture
You small change, I'm blowin' out your brains, gettin' richer(MAC)Truck jewelscruisin' in the Land, bumpin' ""Cash Rules""Last crew to want it caught a hundred tryna pass throughSo who the next to get it?Get it off your chest, kid, admit it, and it's…"
Kurupt	4	Bang	Doctor’s Advocate	2006	[Chorus]	"You got them funny ass colors on, take it off

Do what? , "
Kanye West	5	Drive Slow	Late Registration	2005	[Verse 1]	"My homie Mali used to stay at 79th and May
One of my best friends from back in the day
Down the street from Calumet, a school full of Stones
He nicknamed me ""K-Rock"" so they'd leave me alone
Bulls jacket with his hat broke way off
And walked around the mall with his radio face off
Plus he had the spinner from his Daytons in his hand
Keys in his hand, reason again to let you know he's the man
Back when we rocked Ellesses, he had dreams of Caprices
Drove by the teachers, even more by polices
How'd he get the cash? The day his father passed away
Left him with a lil' something, sixteen, he was stuntin'
Al B. Sure! nigga with the hair all wavy
Hit Lake Shore, girls go all crazy
Hit the freeway, go at least 'bout eighty
Boned so much that summer, even had him a baby
See back— back then— then, if you had a car
You was the Chi-Town version of Baby
And I was just a virgin, a baby
One of the reasons I looked up to him crazy
I used to love to play my demo tape when the system yanked
Felt like I was almost signed when the shit got cranked
We'd take a Saturday and just circle the mall
They had them Lincolns and auroras, we was hurtin' 'em all
With the girls, a lot of flirting involved, but, dawg
Fuck all that flirting, I'm tryna get in some drawers
So put me on with these hoes, homie
He told me, ""Don't rush to get grown, drive slow, homie"""
MC Ren	17	If It Ain’t Ruff	Straight Outta Compton	1988	[Verse 3]	"The 'do not disturb' sign is in effect
While I'm thinkin of a fool to select
To give the victim the verdict so for the verdict a victim
Slammin' my vocals on a dance with the rest then I kick them
Tell 'em they're guilty, and peep out the bailer
And get a new track o' drums so I can play with
Percussion, pumpin' it loud when I perform
Yo, you wanna play in my game, put on a uniform
It ain't a rule in the book you have to go by
Hey, cause when it comes to cheatin', yo, you should know I
For fear in the hearts cause it's the hearts full of fear
Coz what you hear in your ear is something funky and clear
The Hulk was incredible yo but Ren he was super
But now I'm ruthless, a civilian and not a trooper
But a soldier with a top rankin
Givin' dope material, the hell with the gankin'
So play like an airplane and just jet
And keep your blood pressure low cause I'm a threat, cause if not
I'm afraid of the show
That you're a sucker and you're too nervous to go"
Dr. Dre	1	Housewife	2001	1999	[Verse 1]	"I mostly sold dick while I packed a gold clip
Worked my money-maker, she got paper, she 'bout to trip
(Where the fuck is my money?) I cannot G guilty
You pimpin' strong, but comin' home to sheets that be filthy
She on the dillzy, I take advantage
All up in them panties, I got this bitch speakin' Spanish
I'm mannish, get yo' nails out my back
Slut, I'm 'bout to nut and get up, go scrub yo' cat (Get the fuck out of here)
Learn the player rules, this is how a player do
Might not be a freak, but she got on the choosin' shoes
Dollar signs are folded, I can't control it
Tryin' to leave her, beeper just exploded
She sweatin' me, won't let me, broad turned fraud
Now she on this dick, huh, got her turnin' tricks, huh
Man, it's a trip, I don't trip, I'm in yo' Lexus flexin'
I left her up in Dallas, Texas, ass naked"
Kanye West	5	Jesus Walks	The College Dropout	2004	[Verse 2]	"To the hustlers, killers, murderers, drug dealers, even the scrippers
(Jesus walks with them)
To the victims of welfare, feel we livin' in Hell here, hell yeah
(Jesus walks with them)
Now, hear ye, hear ye, want to see Thee more clearly
I know He hear me when my feet get weary
'Cause we're the almost nearly extinct
We rappers is role models, we rap, we don't think
I ain't here to argue about His facial features
Or here to convert atheists into believers
I'm just tryna say the way school need teachers
The way Kathie Lee needed Regis, that's the way I need Jesus
So here go my single, dawg, radio needs this
They say you can rap about anything except for Jesus
That means guns, sex, lies, videotape
But if I talk about God, my record won't get played, huh?
Well, if this take away from my spins
Which'll probably take away from my ends
Then I hope it take away from my sins
And bring the day that I'm dreamin' 'bout
Next time I'm in the club, everybody screamin' out"
JAY-Z	6	Izzo (H.O.V.A.)	The Blueprint	2001	[Verse 3]	"Yeah, Hov is back, life stories told through rap
Niggas acting like I sold you crack (Yeah)
Like I told you sell drugs, no, Hov did that
So hopefully you won't have to go through that
I was raised in the projects, roaches and rats
Smokers out back sellin' they mama's sofa
Lookouts on the corner focused on the ave
Ladies in the window focused on the kinfolk
Me under a lamppost, why I got my hand closed?
Crack's in my palm, watching the long arm of the law
So you know I seen it all before
I've seen hoop dreams deflate like a true fiend's weight
To try and to fail, the two things I hate
Succeed and this rap game, the two things that's great
H to the izz-O, V to the izz-A
What else can I say about dude? I gets busy"
Eminem	15	Headlights	The Marshall Mathers LP 2	2013	[Verse 2]	"‘Cause to this day we remain estranged and I hate it though
‘Cause you ain't even get to witness your grandbabies grow
But I'm sorry, Mama, for ""Cleanin' Out My Closet""
At the time I was angry, rightfully? Maybe so
Never meant that far to take it, though
‘Cause now I know it's not your fault, and I'm not makin' jokes
That song I no longer play at shows
And I cringe every time it's on the radio
And I think of Nathan being placed in a home
And all the medicine you fed us and
How I just wanted you to taste your own
But now the medication's takin' over
And your mental state's deterioratin' slow
And I'm way too old to cry, this shit is painful, though
But, Ma, I forgive you, so does Nathan, yo
All you did, all you said, you did your best to raise us both
Foster care, that cross you bear, few may be as heavy as yours
But I love you, Debbie Mathers
Oh, what a tangled web we have ‘cause
One thing I never asked was
Where the fuck my deadbeat dad was
Fuck it, I guess he had trouble keepin' up with every address
But I'da flipped every mattress, every rock and desert cactus
Owned a collection of maps
And followed my kids to the edge of the atlas
If someone ever moved 'em from me
That you coulda bet your asses
If I had to come down the chimney, dressed as Santa, kidnap 'em
And although one has only met their grandma once
You pulled up in our drive one night
As we were leavin' to get some hamburgers
Me, her and Nate, we introduced you, hugged you
And as you left, I had this overwhelming sadness
Come over me as we pulled off to go our separate paths and
I saw your headlights as I looked back
And I'm mad I didn't get the chance to
Thank you for being my mom and my dad
So, Mom, please accept this as a
Tribute; I wrote this on the jet, I guess I had to
Get this off my chest, I hope I get the chance to
Lay it 'fore I'm dead, the stewardess said to fasten
My seatbelt, I guess we're crashin'
So, if I'm not dreamin', I hope you get this message that
I will always love you from afar, ‘cause you're my mom"
Common	22	My Way Home	Late Registration	2005	[Verse]	"They say home is where the hate is, my dome is where fate is
I stroll where souls get lost like Vegas
Seen through the eyes of rebel glasses
Pray to God that my arms reach the masses
The young smoke grass in grassless jungles
Rubber band together in cashless bundles
We wear strugglin' chains, divided only hustle remains
Makin' sense of it, we hustle for change
Revolution ain't a game, it's another name for life fightin'
Someone to stay in they corner like Mike Tyson
Hypes fightin' for hits to heighten they hell
Don't he know he could only get as high as he fell?
Show money becomes bail, relationships become jail
Children are unheld
I wish love was for sale, ""Behold the Pale - Horse""
Got me trapped like R. Kel', I bail and it—"
Eminem	15	Insane	Relapse	2009	[Chorus]	"If you could count the skeletons in my closet
Under my bed and up under my faucet
Then you would know I've completely lost it
Is he nuts? No! He's insane!
If you could count the skeletons in my closet
Under my bed and up under my faucet
Then you would know I've completely lost it
Is he nuts? No! He's insane!"
